GEO_CODE,DEGDAYHEAT,DEGDAYCOOL
530330029001,6018,143
530330029002,6029,153
530330029003,6020,141
530330030001,6031,148
530330030002,6035,149
530330222014,4994,298
530330222021,5084,264
530330222022,5185,255
530330222023,5028,261
530330222024,5004,259
530330222025,5183,255
530330222031,5129,252
530330222032,5286,259
530330222033,5280,246
530330223001,4791,264
530330223002,4738,272
530330224001,4794,278
530330224002,4912,256
530330224003,4779,289
530330224004,4847,261
530330224005,4975,255
530330224006,4733,298
530330225001,4731,285
530330225002,4789,357
530330225003,4780,307
530330225004,4815,336
530330225005,4805,350
530330226031,4835,414
530330226032,4842,414
530330226033,4804,374
530330226034,4770,328
530330226035,4771,328
530330226041,4841,345
530330226042,4819,389
530330226043,4833,393
530330226051,4689,298
530330300034,5461,345
530330300035,5673,373
530330300041,5611,358
530330300042,5607,358
530330300043,5685,374
530330300044,5610,358
530330300045,5607,358
530330300046,5607,358
530330300051,5801,394
530330300052,5705,345
530330300053,5842,322
530330300061,5753,336
530330300062,5760,336
530330301001,5892,260
530330301002,5809,306
530330301003,5995,330
530330301004,5914,322
530330301005,5928,370
530330301006,5906,333
530330301007,5919,370
530330302011,5877,351
530330302012,5866,351
530330302013,5803,367
530330302014,5869,351
530330302021,6171,365
530330302022,6177,343
530330302023,6288,353
530330302024,6179,365
530330302025,6291,353
530330303041,6340,300
530330303042,6213,298
530330030003,6029,148
530330030004,6027,149
530330031001,6028,141
530330031002,6007,120
530330031003,6039,164
530330031004,6038,151
530330031005,6011,130
530330032001,6010,123
530330032002,6014,128
530330032003,6025,144
530330032004,6025,136
530330032005,6022,136
530330032006,6022,136
530330032007,6006,132
530330033001,6007,130
530330033002,6018,137
530330033003,6012,134
530330033004,6000,131
530330033005,5993,125
530330034001,5996,131
530330034002,5993,125
530330034003,5999,134
530330035001,5988,127
530330035002,5987,130
530330035003,5987,135
530330036001,5993,137
530330036002,5871,152
530330036003,5990,142
530330036004,5977,133
530330038001,5687,169
530330226052,4686,298
530330226053,4688,298
530330226061,4855,376
530330226062,4752,353
530330226063,4856,376
530330226064,4695,315
530330227011,4819,417
530330227012,4746,332
530330227021,4781,396
530330227022,4723,312
530330227023,4731,322
530330227031,4749,283
530330227032,4772,384
530330228011,4875,437
530330228012,4877,456
530330228013,4837,454
530330228014,4876,456
530330228021,4879,463
530330228022,4882,506
530330228023,4873,463
530330228031,4880,491
530330228032,4887,492
530330228033,4842,473
530330229011,4904,527
530330229012,4875,537
530330229021,4924,527
530330229022,4859,500
530330229023,4875,535
530330229024,4856,500
530330229025,4839,479
530330230001,4886,523
530330303143,6347,359
530330304011,6321,387
530330304012,6356,433
530330304013,5623,631
530330304014,5626,631
530330304015,5622,631
530330304031,5741,607
530330304032,5742,606
530330304033,5748,608
530330304041,5742,607
530330304042,5431,612
530330304043,5428,612
530330305011,5528,675
530330305012,5616,599
530330305031,5613,663
530330305032,5613,663
530330305041,5619,681
530330305042,5626,681
530330305043,5709,632
530330305044,5703,633
530330306001,5644,648
530330306002,5691,645
530330306003,5796,629
530330306004,5770,622
530330307001,5989,603
530330307002,6037,562
530330307003,6038,553
530330308011,6247,488
530330308012,6242,487
530330308013,6339,490
530330308021,6026,533
530330038002,5763,160
530330039001,5539,185
530330039002,5677,172
530330040001,5493,189
530330040002,5506,182
530330041001,5674,149
530330041002,5671,144
530330041003,5639,167
530330041004,5569,160
530330041005,5643,140
530330041006,5796,133
530330042001,5810,139
530330042002,5878,128
530330042003,5860,139
530330042004,5810,140
530330042005,5899,130
530330043011,5964,124
530330043012,5946,113
530330043013,5963,121
530330043021,5972,127
530330043022,5971,128
530330044001,5964,122
530330044002,5968,119
530330044003,5976,128
530330044004,5965,119
530330045001,5997,136
530330045002,5971,119
530330046001,5980,116
530330046002,5995,122
530330046003,5979,110
530330230002,4845,502
530330230003,4837,491
530330230004,4817,489
530330231001,4821,493
530330231002,4824,504
530330231003,4772,455
530330232011,4784,493
530330232012,4767,472
530330232013,4766,472
530330232021,4793,450
530330232022,4773,463
530330232023,4791,450
530330233001,4781,474
530330233002,4752,482
530330233003,4717,493
530330233004,4749,503
530330234011,4800,559
530330234012,4828,588
530330234013,4846,610
530330234031,4667,417
530330234032,4665,408
530330234033,4671,415
530330234041,4660,420
530330234042,4661,416
530330235001,4688,400
530330235002,4667,375
530330235003,4683,384
530330236011,4715,443
530330236012,4756,426
530330236013,4711,422
530330236031,4738,425
530330047001,5988,112
530330047002,5999,122
530330047003,5968,105
530330047004,5985,117
530330048001,5961,100
530330048002,5981,114
530330048003,5959,104
530330048004,5950,94
530330049001,5961,105
530330049002,5967,109
530330049003,5973,112
530330049004,5959,107
530330049005,5955,101
530330050001,5957,106
530330050002,5958,110
